system.index,AREA_KM2,CD_MUN,CD_UF,NM_MUN,NM_REGIAO,NM_UF,SIGLA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Bioma
000100000000000004bf,605.692,1101476,11,Primavera de Rondônia,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c0,541.647,1101484,11,São Felipe D'Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c1,10959.767,1101492,11,São Francisco do Guaporé,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c2,3773.505,1101500,11,Seringueiras,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c3,459.978,1101559,11,Teixeirópolis,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c4,2197.413,1101609,11,Theobroma,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c5,831.857,1101708,11,Urupá,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
481,3135.106,1101757,11,Vale do Anari,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004c6,965.676,1101807,11,Vale do Paraíso,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
482,1811.613,1200013,12,Acrelândia,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
